resid.,emp. dist.,fit dist.,long. lat. (i),long. lat. (j)
-0.054020357975370664,0.1654760132382913,0.16391237041463325,"(-3.923, 41.231)","(-8.873, 42.835)"
-0.04710177034243865,0.1088542327567108,0.10398889953405176,"(-3.923, 41.231)","(-2.795, 43.055)"
-0.06595781220272129,0.08388198786190237,0.09822084805253348,"(-4.994, 39.39)","(11.25, 60.177)"
-0.06425750145929984,0.08038255273736628,0.09331708640696926,"(-4.994, 39.39)","(-3.393, 59.851)"
-0.06225688920556588,0.08258536352362533,0.09350777522787801,"(-4.994, 39.39)","(-20.259, 63.678)"
-0.06172372930993565,0.05521079166231857,0.0671886303928021,"(-4.994, 39.39)","(9.22, 56.733)"
-0.0679825213589006,0.15129055404566394,0.1637017852337276,"(-4.994, 39.39)","(-4.186, 55.69)"
-0.0591431616866549,0.07007376428126566,0.07877188620231981,"(-4.994, 39.39)","(-9.342, 53.768)"
-0.06325086968990001,0.12575629147601575,0.13515869232489672,"(-4.994, 39.39)","(0.243, 51.961)"
-0.06132178365635485,0.12523577637299965,0.1328485294043542,"(-4.994, 39.39)","(-4.676, 50.196)"
-0.05155545265717931,0.12466156061229405,0.12309659577472351,"(-4.994, 39.39)","(-8.873, 42.835)"
-0.05203246663879761,0.06591852889766958,0.06814724435361036,"(-4.994, 39.39)","(-2.795, 43.055)"
-0.04995286861672271,0.12298528478835724,0.12000437787552298,"(-4.994, 39.39)","(-3.923, 41.231)"
-0.0760523326350552,0.14439320465905858,0.1648075072807006,"(-6.012, 37.534)","(11.25, 60.177)"
-0.07416492883388714,0.1412399833058755,0.1600538087482601,"(-6.012, 37.534)","(-3.393, 59.851)"
-0.07066083700786,0.14499667628280655,0.16029203112813853,"(-6.012, 37.534)","(-20.259, 63.678)"
-0.07196609721790789,0.11559945723151,0.13379914593477152,"(-6.012, 37.534)","(9.22, 56.733)"
-0.07859813658266507,0.2115039094792115,0.23049897081244328,"(-6.012, 37.534)","(-4.186, 55.69)"
-0.07127606447430285,0.12885791186360152,0.14565213774766544,"(-6.012, 37.534)","(-9.342, 53.768)"
-0.07440606622630974,0.18547257228866698,0.20199596499439937,"(-6.012, 37.534)","(0.243, 51.961)"
